S 31
L 1
B 9
C 278
78.6397 -180.196 -491.259
78.6397 -180.196 -491.259
77.9387 -180.38 -490.289
77.9387 -180.38 -490.289
77.6938 -180.488 -489.743
76.7369 -180.958 -487.075
75.1596 -181.895 -483.309
74.8978 -182.051 -482.647
74.5748 -182.137 -480.966
74.0836 -182.208 -479.008
73.9876 -182.22 -478.477
73.2155 -182.227 -476.633
72.6024 -182.876 -473.674
72.4674 -183.017 -473.079
71.7206 -183.071 -471.421
70.7711 -183.341 -468.868
70.6108 -183.391 -468.332
69.9194 -183.597 -466.696
69.293 -184.435 -463.764
69.166 -184.595 -463.211
68.5368 -184.617 -461.93
67.7242 -184.748 -458.876
67.508 -184.759 -458.289
66.8385 -184.778 -456.757
65.79 -185.067 -454.126
65.573 -185.13 -453.608
64.9812 -185.286 -452.301
64.148 -185.478 -449.27
63.9567 -185.506 -448.739
63.4195 -185.823 -447.2
62.4546 -186.507 -444.35
62.2679 -186.59 -443.864
61.641 -186.684 -442.484
60.0615 -186.446 -439.727
59.8395 -186.419 -439.27
59.4622 -186.551 -437.842
58.1191 -186.508 -434.42
57.9138 -186.523 -433.913
57.2789 -186.513 -432.542
55.5922 -186.965 -429.011
55.3845 -187.02 -428.568
55.005 -186.886 -427.362
53.7118 -187.105 -423.993
53.5558 -187.13 -423.582
52.9707 -187.161 -422.303
51.9158 -187.213 -419.809
51.7956 -187.208 -419.509
51.2681 -187.217 -418.101
49.9243 -186.789 -414.735
49.7818 -186.756 -414.384
49.2379 -186.695 -413.2
47.4908 -187.011 -409.512
47.3362 -187.031 -409.182
46.979 -186.924 -408.111
45.9917 -186.9 -405.073
45.9097 -186.896 -404.832
45.463 -186.893 -403.79
43.7116 -186.667 -400.212
43.5942 -186.652 -399.976
43.0957 -186.591 -399.041
41.7535 -186.532 -395.391
41.6815 -186.527 -395.201
41.1885 -186.375 -394.22
39.4128 -185.955 -390.247
39.3454 -185.938 -390.096
38.808 -185.744 -389.138
37.1452 -185.262 -385.571
37.1064 -185.251 -385.488
36.6675 -185.19 -384.58
34.716 -184.714 -380.574
34.7005 -184.71 -380.542
34.358 -184.61 -379.745
32.5903 -184.266 -375.969
30.2797 -184 -371.535
29.8522 -183.85 -370.655
29.4043 -183.516 -369.026
28.2308 -182.833 -366.062
27.9969 -182.759 -365.441
27.1552 -182.524 -363.721
26.1347 -182.317 -361.29
25.8146 -182.197 -360.737
24.9864 -181.884 -359.2
23.9527 -181.848 -356.838
23.6921 -181.799 -356.273
22.9699 -181.295 -354.696
21.404 -180.787 -351.641
21.0597 -180.705 -351.001
20.2691 -180.283 -349.415
19.3146 -179.95 -346.709
19.0933 -179.84 -346.14
18.4521 -179.487 -344.573
16.8632 -179.086 -341.416
16.5864 -178.982 -340.866
15.8168 -178.481 -339.329
14.6348 -178.131 -336.633
14.3952 -178.043 -336.129
13.6507 -177.511 -334.763
11.9746 -176.456 -331.566
11.7145 -176.318 -331.047
10.9745 -176.069 -329.593
9.72138 -175.736 -326.799
9.50054 -175.643 -326.335
8.84642 -175.33 -324.984
7.09421 -174.415 -321.737
6.85976 -174.293 -321.292
6.46317 -173.953 -320.07
5.18234 -173.084 -316.817
5.01021 -172.965 -316.373
4.39159 -172.756 -315.042
3.03507 -171.955 -312.197
2.85096 -171.848 -311.813
2.29073 -171.513 -310.545
0.55193 -170.929 -307.106
0.350092 -170.852 -306.707
-0.28572 -170.46 -305.441
-1.46159 -169.524 -302.897
-1.5883 -169.419 -302.608
-2.12109 -168.996 -301.225
-3.40472 -167.958 -297.728
-3.53488 -167.863 -297.387
-4.09388 -167.558 -296.243
-5.90758 -166.602 -292.574
-6.05762 -166.521 -292.267
-6.63241 -166.067 -291.112
-8.14609 -165.244 -287.794
-8.25781 -165.184 -287.553
-8.69622 -164.939 -286.664
-9.96684 -163.837 -283.104
-10.0414 -163.772 -282.896
-10.4917 -163.501 -281.856
-12.5609 -162.798 -278.258
-12.6529 -162.765 -278.096
-13.1253 -162.415 -277.044
-14.6501 -160.93 -273.414
-14.6976 -160.885 -273.301
-15.1318 -160.589 -272.358
-16.6868 -159.695 -268.869
-16.7114 -159.68 -268.814
-17.064 -159.35 -267.883
-19.0627 -158.259 -263.971
-20.551 -156.901 -260.513
-20.9497 -156.565 -259.584
-21.805 -155.602 -257.407
-22.8447 -154.298 -254.807
-23.1435 -154.081 -254.144
-23.8024 -153.548 -252.334
-25.164 -152.54 -249.18
-25.4265 -152.283 -248.536
-26.2745 -151.641 -246.818
-27.3224 -150.816 -244.346
-27.638 -150.681 -243.797
-28.3869 -149.898 -242.204
-29.4295 -149.136 -239.81
-29.6915 -148.956 -239.259
-30.254 -148.23 -237.548
-31.9837 -147.477 -234.629
-32.2598 -147.308 -234.114
-32.9431 -146.104 -232.385
-33.9541 -145.672 -229.613
-34.1123 -145.505 -229.081
-34.8339 -144.885 -227.579
-35.7973 -143.553 -224.829
-35.959 -143.31 -224.337
-36.5857 -142.645 -222.817
-37.3669 -141.205 -219.832
-37.5575 -140.992 -219.315
-38.178 -140.57 -218.176
-40.0782 -139.415 -214.999
-40.3563 -139.215 -214.488
-40.745 -138.559 -213.2
-42.0437 -137.174 -210.053
-42.2216 -136.954 -209.567
-42.8805 -136.502 -208.188
-43.8668 -134.794 -205.094
-44.0001 -134.547 -204.649
-44.2684 -133.861 -203.453
-45.4115 -132.779 -200.241
-45.5897 -132.645 -199.809
-46.1722 -132.065 -198.508
-47.2589 -130.532 -195.416
-47.3898 -130.341 -195.035
-47.9043 -129.715 -193.754
-49.123 -128.157 -190.751
-49.2696 -127.991 -190.401
-49.7471 -127.566 -189.15
-50.8246 -126.314 -185.945
-50.9423 -126.185 -185.611
-51.3514 -125.654 -184.353
-53.1401 -124.563 -180.824
-53.2951 -124.455 -180.505
-53.5812 -123.791 -179.379
-54.3616 -121.893 -176.169
-54.4284 -121.744 -175.915
-54.8615 -121.238 -174.864
-56.4901 -119.459 -171.174
-56.5939 -119.342 -170.932
-56.8475 -118.78 -169.879
-57.6385 -116.954 -166.51
-57.682 -116.859 -166.333
-58.0686 -116.405 -165.359
-59.795 -114.51 -161.631
-59.8602 -114.438 -161.489
-60.3337 -113.943 -160.506
-61.6288 -111.722 -157.167
-61.659 -111.67 -157.089
-61.9015 -111.31 -156.159
-63.3088 -109.535 -152.166
-63.32 -109.52 -152.134
-63.5409 -109.047 -151.283
-64.9191 -106.799 -147.349
-66.2772 -104.771 -143.376
-66.6457 -104.292 -142.484
-67.2149 -102.881 -140.846
-67.8072 -101.593 -137.725
-67.9459 -101.339 -137.079
-68.7319 -100.487 -135.344
-69.426 -98.538 -132.62
-69.5767 -98.1805 -132.056
-70.3453 -97.2851 -130.401
-71.352 -96.1648 -127.951
-71.5162 -95.8464 -127.415
-71.743 -94.9488 -125.964
-72.5265 -92.3812 -122.897
-72.6651 -91.9555 -122.281
-72.9703 -91.4501 -120.826
-73.2929 -89.7823 -118.141
-73.4246 -89.4379 -117.586
-74.0518 -88.6529 -116.082
-74.7667 -86.6441 -113.258
-74.8976 -86.3132 -112.743
-75.5639 -85.489 -111.252
-76.3727 -83.3943 -108.352
-76.5121 -83.0615 -107.848
-77.1646 -82.2466 -106.39
-78.0062 -80.121 -103.439
-78.1409 -79.7963 -102.952
-78.6475 -78.5973 -101.405
-79.5958 -76.7038 -98.4844
-79.739 -76.4257 -98.0267
-80.2418 -75.2998 -96.5344
-81.2225 -73.4101 -93.5732
-81.3538 -73.1075 -93.1272
-81.5908 -72.2874 -91.8683
-82.5068 -69.4379 -88.4953
-82.6329 -69.0665 -88.0359
-82.8637 -68.1248 -86.7947
-83.4558 -66.3748 -83.9202
-83.5526 -66.1398 -83.5384
-83.9564 -65.1568 -82.2428
-84.6639 -62.4349 -78.9868
-84.7471 -62.1272 -78.6035
-85.2381 -61.3522 -77.3638
-86.1614 -58.9511 -74.0879
-86.2553 -58.6647 -73.7336
-86.4668 -57.515 -72.5959
-87.6279 -54.4806 -69.2391
-87.7346 -54.1859 -68.9148
-87.8985 -52.7282 -67.7552
-88.4364 -48.7435 -64.2987
-88.48 -48.4083 -64.0064
-88.5555 -47.2091 -62.8813
-88.7188 -43.5812 -59.4138
-88.7302 -43.3256 -59.1656
-88.9857 -42.5039 -58.109
-89.6204 -39.625 -54.6411
-89.6569 -39.4494 -54.4366
-89.7434 -38.2258 -53.4098
-89.9618 -34.1227 -49.8438
-89.9709 -33.9381 -49.6845
-89.9386 -32.9398 -48.8917
-89.8423 -29.2708 -45.8034
-89.8394 -29.1576 -45.7078
-89.827 -28.209 -44.8343
-89.7897 -24.472 -41.3219
-89.7892 -24.4129 -41.2664
-89.7846 -23.5103 -40.6099
-90.0709 -16.7844 -34.9332
-90.0709 -16.7844 -34.9332
C 279
82.8102 -177.697 -488.76
82.8102 -177.697 -488.76
82.6568 -177.85 -488.078
82.6568 -177.85 -488.078
82.4772 -178.03 -487.565
81.6446 -178.863 -485.126
80.0734 -179.208 -481.635
79.7812 -179.296 -480.908
79.4182 -179.546 -479.356
78.9783 -179.893 -476.965
78.8443 -180.002 -476.309
78.3841 -180.458 -474.435
77.6812 -181.156 -471.829
77.4565 -181.237 -471.224
76.7394 -181.313 -469.619
75.8473 -181.583 -467.096
75.6538 -181.668 -466.479
75.1289 -181.896 -464.732
73.7685 -182.13 -461.446
73.5282 -182.197 -460.832
73.1401 -182.492 -459.461
72.5131 -183.025 -457.041
72.349 -183.075 -456.529
71.7534 -183.089 -455.02
70.4578 -183.636 -451.627
70.2369 -183.719 -451.045
69.7297 -183.603 -449.853
68.687 -183.803 -446.616
68.5155 -183.854 -446.077
67.8526 -183.898 -444.588
66.7172 -184.211 -441.809
66.5394 -184.271 -441.363
65.8917 -184.298 -439.973
64.7951 -184.516 -437.152
64.6345 -184.556 -436.72
64.0792 -184.508 -435.305
63.0015 -184.679 -432.404
62.8258 -184.69 -431.968
62.2272 -184.716 -430.666
60.7666 -185.246 -427.07
60.5705 -185.29 -426.604
60.1111 -185.205 -425.504
58.843 -185.43 -422.163
58.6842 -185.441 -421.759
58.1432 -185.475 -420.44
56.9355 -185.536 -417.327
56.7977 -185.533 -416.979
56.3005 -185.543 -415.726
54.9613 -185.1 -412.749
54.8196 -185.065 -412.433
54.2748 -185.002 -411.301
52.6865 -185.331 -407.565
52.542 -185.352 -407.231
51.9778 -185.08 -406.046
50.5251 -184.689 -402.761
50.4067 -184.657 -402.498
49.8935 -184.602 -401.418
47.9969 -184.262 -397.765
47.8729 -184.241 -397.524
47.4981 -184.308 -396.557
46.029 -184.133 -392.894
45.9516 -184.124 -392.7
45.4926 -184.093 -391.661
44.093 -184.171 -388.146
44.0383 -184.174 -388.009
43.6248 -184.134 -387.031
42.0762 -183.605 -383.669
42.0378 -183.592 -383.586
41.4984 -183.408 -382.583
39.6401 -182.984 -378.731
39.6229 -182.98 -378.696
39.2187 -182.895 -377.774
37.6453 -182.805 -374.005
35.5266 -182.383 -369.557
35.1291 -182.313 -368.674
34.5008 -181.971 -367.24
33.2711 -181.189 -364.35
33.0263 -181.1 -363.741
32.252 -180.934 -361.949
31.2877 -181.076 -359.469
31.0084 -181.048 -358.874
30.1895 -180.84 -357.323
28.4993 -179.699 -354.441
28.1904 -179.545 -353.866
27.7346 -179.7 -352.522
26.5182 -179.469 -349.634
26.2322 -179.397 -349.015
25.4915 -179.198 -347.431
23.8464 -177.862 -344.335
23.5661 -177.67 -343.756
23.119 -177.769 -342.446
21.8788 -177.513 -339.474
21.6569 -177.464 -338.948
20.9741 -177.377 -337.382
19.6929 -176.651 -334.866
19.4453 -176.514 -334.377
18.7963 -176.375 -332.919
17.2324 -175.836 -329.627
16.9742 -175.718 -329.105
16.207 -175.182 -327.672
14.9157 -174.71 -324.928
14.693 -174.623 -324.462
14.0434 -174.395 -323.101
12.3689 -173.032 -319.783
12.1342 -172.858 -319.295
11.7338 -172.846 -318.082
10.4821 -172.45 -314.827
10.3044 -172.375 -314.386
9.84111 -172.182 -313.342
8.42051 -171.525 -310.303
8.22606 -171.434 -309.892
7.56919 -170.965 -308.675
5.77166 -169.808 -305.243
5.56363 -169.685 -304.837
5.10816 -169.481 -303.769
3.71023 -168.332 -300.433
3.56207 -168.218 -300.071
3.06083 -167.981 -298.794
1.79688 -167.526 -295.606
1.66586 -167.469 -295.288
1.13248 -167.178 -294.156
-0.631944 -166.24 -290.537
-0.781634 -166.162 -290.229
-1.35239 -165.712 -289.073
-2.87122 -164.937 -285.803
-2.98195 -164.879 -285.562
-3.41645 -164.392 -284.427
-4.72248 -163.472 -281.051
-4.80173 -163.415 -280.846
-5.26812 -163.017 -279.832
-7.0813 -161.693 -276.036
-7.16663 -161.632 -275.857
